fileID,f1,f2,vot,notes
bi02_kaka,784.39,1573.96,21.15,
bi02_kaka1,768.18,1522.29,29.82,
bi02_kaka2,534.44,1494.33,25.81,
bi02_keke,473.27,2186.32,23.26,
bi02_keke1,466.51,2334.62,19.74,
bi02_keke2,527.41,2233.94,18.89,
bi02_kiki,335.59,2624.57,28.24,
bi02_kiki1,348.02,2693.24,19.05,
bi02_kiki2,339.41,2661.00,18.93,
bi02_koko,617.26,992.64,29.30,
bi02_koko1,595.11,965.56,25.17,
bi02_koko2,507.63,865.58,27.07,
bi02_kuku,471.76,906.53,26.76,
bi02_kuku1,467.61,917.05,30.90,
bi02_kuku2,310.76,763.41,22.86,
bi02_paka,818.91,1635.50,13.93,
bi02_paka1,721.80,1432.61,18.13,
bi02_paka2,698.52,1606.59,14.15,
bi02_peke,501.95,2265.39,24.26,
bi02_peke1,462.47,2340.82,25.46,
bi02_peke2,491.55,2398.24,31.08,
bi02_piki,356.39,1617.45,18.73,
bi02_piki1,287.10,2535.45,15.30,
bi02_piki2,573.14,2682.05,10.97,
bi02_poko,588.21,919.30,21.16,
bi02_poko1,583.45,951.36,18.36,
bi02_poko2,566.25,1057.71,17.49,
bi02_puku,506.97,896.93,24.28,
bi02_puku1,463.55,841.07,22.33,
bi02_puku2,439.60,804.27,25.93,
bi02_taka,814.54,1549.31,9.45,
bi02_taka1,756.95,1529.12,21.12,
bi02_taka2,504.37,1442.65,17.67,
bi02_teke,533.00,2214.40,28.47,
bi02_teke1,464.10,2340.42,11.99,
bi02_teke2,406.89,1413.99,12.33,
bi02_tiki,644.74,2317.61,19.10,
bi02_tiki1,344.97,2768.86,17.28,
bi02_tiki2,427.79,1524.75,15.93,
bi02_toko,500.89,917.34,19.61,
bi02_toko1,542.85,964.37,15.59,
bi02_toko2,602.68,999.39,17.44,
bi02_tuku,472.45,960.54,14.40,
bi02_tuku1,467.32,928.00,12.37,
bi02_tuku2,525.18,828.34,16.35,
