fileID,f1,f2,vot,notes
ne03_kaka,794.10,1785.65,31.89,
ne03_kaka1,836.80,1682.11,42.14,
ne03_kaka2,879.06,1549.33,50.80,
ne03_keke,546.46,2641.90,35.67,
ne03_keke1,569.44,1786.81,33.91,
ne03_keke2,567.79,2484.22,44.86,
ne03_kiki,530.68,2730.73,38.13,
ne03_kiki1,411.79,2011.74,81.41,
ne03_kiki2,372.85,2805.64,67.18,
ne03_koko,510.83,1070.80,53.04,
ne03_koko1,537.23,1214.24,35.46,
ne03_koko2,573.46,1092.26,40.88,
ne03_kuku,518.73,995.60,55.15,
ne03_kuku1,465.77,1071.69,53.45,
ne03_kuku2,415.14,1054.39,51.18,
ne03_paka,848.57,1787.75,13.33,
ne03_paka1,742.79,1814.18,29.41,
ne03_paka2,764.86,1887.37,15.12,
ne03_peke,549.19,1662.25,14.02,
ne03_peke1,753.37,2471.95,39.65,
ne03_peke2,617.44,2389.96,25.59,
ne03_piki,364.04,2640.28,21.17,
ne03_piki1,379.36,1983.18,39.58,
ne03_piki2,392.40,2106.24,32.10,
ne03_poko,640.13,1117.95,19.69,
ne03_poko1,584.09,1184.82,35.35,
ne03_poko2,594.06,1101.61,41.82,
ne03_puku,408.38,1038.34,34.66,
ne03_puku1,425.50,965.31,45.63,
ne03_puku2,508.27,1011.57,72.04,
ne03_taka,532.62,1018.75,30.47,
ne03_taka1,862.04,1742.74,21.32,
ne03_taka2,649.16,1171.39,20.74,
ne03_teke,577.37,1499.36,42.04,
ne03_teke1,572.82,1860.21,36.86,
ne03_teke2,567.43,1662.90,29.96,
ne03_tiki,383.36,2787.70,47.07,
ne03_tiki1,377.04,1530.17,78.20,
ne03_tiki2,410.26,1750.54,32.52,
ne03_toko,615.60,1104.49,35.12,
ne03_toko1,624.45,1197.14,37.61,
ne03_toko2,535.87,1065.15,27.80,
ne03_tuku,445.67,1095.63,42.96,
ne03_tuku1,428.63,1051.12,59.37,
ne03_tuku2,477.64,1122.70,45.17,
